AaB,AC Horsens,2,0
Brøndby IF,Silkeborg IF,2,0
FC Nordsjælland,Viborg FF,3,0
Lyngby BK,Randers FC,0,2
AGF,FC Midtjylland,1,2
OB,FC København,0,2
