AaB,Brøndby IF,1,2
FC Midtjylland,FC Nordsjælland,1,1
Lyngby BK,Viborg FF,0,1
OB,AGF,0,1
Randers FC,Silkeborg IF,1,0
AC Horsens,FC København,0,2
