AaB,FC Midtjylland,1,1
Brøndby IF,AC Horsens,2,0
Lyngby BK,AGF,0,3
OB,Viborg FF,1,1
FC Nordsjælland,Randers FC,3,1
Silkeborg IF,FC København,0,2
